detailsPageUrl,carat,date,dateSet,price,pricePerCarat,skus,id,shapeCode,shapeName,clarity,color,culet,cut,depth,fluorescence,lxwRatio,polish,symmetry,table,hasVisualization,visualizationImageUrl,v360BaseUrl,measurements,willArriveForHoliday,imageUrl,sellingIndex
./diamond-details/LD12792580,['0.90'],['Sep 27'],['Sep 30'],2202,"['$2,447']",['LD12792580'],LD12792580,['RD'],['Round'],['SI2'],['K'],['None'],"[{'label': 'Very Good', 'labelSmall': 'Very Good'}]",['64.4'],['None'],['1.00'],['Excellent'],['Very Good'],['57.0'],[True],https://bnsec.bluenile.com/bnsecure/diamondvis/gia-7333237423/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-7333237423/1/,"[{'label': '6.05 x 6.07 x 3.91 mm', 'labelSmall': '6.05 x 6.07 x 3.91'}]",False,,0.7811423
./diamond-details/LD12903486,['0.70'],['Sep 30'],['Oct 1'],2202,"['$3,146']",['LD12903486'],LD12903486,['RD'],['Round'],['SI1'],['H'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['61.7'],['None'],['1.01'],['Very Good'],['Very Good'],['58.0'],[True],https://bnsec.bluenile.com/bnsecure/diamondvis/gia-1335622544/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-1335622544/1/,"[{'label': '5.63 x 5.67 x 3.49 mm', 'labelSmall': '5.63 x 5.67 x 3.49'}]",False,,0.3492655
./diamond-details/LD04621325,['0.57'],['Sep 26'],['Sep 27'],2203,"['$3,865']",['LD04621325'],LD04621325,['RD'],['Round'],['VVS2'],['D'],['None'],"[{'label': 'Very Good', 'labelSmall': 'Very Good'}]",['63.5'],['None'],['1.01'],['Very Good'],['Very Good'],['58.0'],[False],,,"[{'label': '5.28 x 5.23 x 3.34 mm', 'labelSmall': '5.28 x 5.23 x 3.34'}]",False,,0.18368503
./diamond-details/LD08672665,['0.70'],['Sep 24'],['Sep 25'],2203,"['$3,147']",['LD08672665'],LD08672665,['RD'],['Round'],['SI1'],['D'],['None'],"[{'label': 'Very Good', 'labelSmall': 'Very Good'}]",['64.8'],['None'],['1.01'],['Very Good'],['Very Good'],['56.0'],[True],https://bnsec.bluenile.com/bnsecure/diamondvis/gia-7251320277/still_230x230.jpg,https://bluenile.v360.in/59/imaged/gia-7251320277/1/,"[{'label': '5.56 x 5.50 x 3.58 mm', 'labelSmall': '5.56 x 5.50 x 3.58'}]",False,,0.24192724
./diamond-details/LD11942748,['0.50'],['Sep 30'],['Oct 1'],2203,"['$4,406']",['LD11942748'],LD11942748,['RD'],['Round'],['IF'],['D'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['60.6'],['Medium'],['1.01'],['Excellent'],['Excellent'],['62.0'],[True],https://bnsec.bluenile.com/bnsecure/diamondvis/gia-6312922919/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-6312922919/1/,"[{'label': '5.15 x 5.11 x 3.10 mm', 'labelSmall': '5.15 x 5.11 x 3.10'}]",False,,0.5557725
./diamond-details/LD12024554,['0.70'],['Sep 30'],['Oct 1'],2203,"['$3,147']",['LD12024554'],LD12024554,['RD'],['Round'],['VS2'],['D'],['None'],"[{'label': 'Good', 'labelSmall': 'Good'}]",['65.1'],['None'],['1.01'],['Excellent'],['Excellent'],['57.0'],[True],https://bnsec.bluenile.com/bnsecure/diamondvis/gia-2327173088/still_230x230.jpg,https://bluenile.v360.in/43/imaged/gia-2327173088/1/,"[{'label': '5.46 x 5.42 x 3.54 mm', 'labelSmall': '5.46 x 5.42 x 3.54'}]",False,,0.3341445
./diamond-details/LD12260137,['0.70'],['Sep 27'],['Sep 30'],2203,"['$3,147']",['LD12260137'],LD12260137,['RD'],['Round'],['VS1'],['H'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['63.3'],['None'],['1.01'],['Excellent'],['Very Good'],['56.0'],[True],https://bnsec.bluenile.com/bnsecure/diamondvis/gia-5326490202/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-5326490202/1/,"[{'label': '5.66 x 5.60 x 3.56 mm', 'labelSmall': '5.66 x 5.60 x 3.56'}]",False,,0.61717236
./diamond-details/LD12368051,['0.72'],['Sep 24'],['Sep 25'],2203,"['$3,060']",['LD12368051'],LD12368051,['RD'],['Round'],['SI1'],['F'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['62.5'],['Strong'],['1.00'],['Very Good'],['Excellent'],['57.0'],[True],https://bnsec.bluenile.com/bnsecure/diamondvis/gia-6325344887/still_230x230.jpg,https://bluenile.v360.in/59/imaged/gia-6325344887/1/,"[{'label': '5.74 x 5.72 x 3.58 mm', 'labelSmall': '5.74 x 5.72 x 3.58'}]",False,,0.5075906
./diamond-details/LD12548145,['0.70'],['Sep 27'],['Sep 30'],2203,"['$3,147']",['LD12548145'],LD12548145,['RD'],['Round'],['SI1'],['D'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['62.7'],['None'],['1.01'],['Very Good'],['Very Good'],['56.0'],[True],https://bnsec.bluenile.com/bnsecure/diamondvis/gia-2326742956/still_230x230.jpg,https://bluenile.v360.in/63/imaged/gia-2326742956/1/,"[{'label': '5.65 x 5.62 x 3.53 mm', 'labelSmall': '5.65 x 5.62 x 3.53'}]",False,,0.3662228
./diamond-details/LD12813362,['0.60'],['Sep 30'],['Oct 1'],2203,"['$3,672']",['LD12813362'],LD12813362,['RD'],['Round'],['VVS2'],['E'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['60.9'],['Medium'],['1.01'],['Excellent'],['Excellent'],['60.0'],[True],https://bnsec.bluenile.com/bnsecure/diamondvis/gia-2336339921/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-2336339921/1/,"[{'label': '5.42 x 5.37 x 3.28 mm', 'labelSmall': '5.42 x 5.37 x 3.28'}]",False,,0.44749168
./diamond-details/LD12874698,['0.57'],['Sep 27'],['Sep 30'],2203,"['$3,865']",['LD12874698'],LD12874698,['RD'],['Round'],['VS1'],['D'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['62.4'],['None'],['1.01'],['Excellent'],['Excellent'],['57.0'],[False],,,"[{'label': '5.29 x 5.32 x 3.31 mm', 'labelSmall': '5.29 x 5.32 x 3.31'}]",False,,0.24616225
./diamond-details/LD12880789,['0.50'],['Sep 27'],['Sep 30'],2203,"['$4,406']",['LD12880789'],LD12880789,['RD'],['Round'],['VVS1'],['D'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['59.3'],['None'],['1.01'],['Excellent'],['Excellent'],['61.0'],[True],https://bnsec.bluenile.com/bnsecure/diamondvis/gia-1333518393/still_230x230.jpg,https://bluenile.v360.in/2/imaged/gia-1333518393/1/,"[{'label': '5.13 x 5.17 x 3.06 mm', 'labelSmall': '5.13 x 5.17 x 3.06'}]",False,,0.28018266
./diamond-details/LD12896390,['0.50'],['Sep 27'],['Sep 30'],2203,"['$4,406']",['LD12896390'],LD12896390,['RD'],['Round'],['VVS1'],['D'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['62.3'],['None'],['1.01'],['Excellent'],['Very Good'],['57.0'],[True],https://bnsec.bluenile.com/bnsecure/diamondvis/gia-6335636694/still_230x230.jpg,https://bluenile.v360.in/50/imaged/gia-6335636694/1/,"[{'label': '5.09 x 5.05 x 3.16 mm', 'labelSmall': '5.09 x 5.05 x 3.16'}]",False,,0.2745486
./diamond-details/LD00065107,['0.60'],['Sep 24'],['Sep 25'],2204,"['$3,673']",['LD00065107'],LD00065107,['RD'],['Round'],['VS2'],['E'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['62.2'],['None'],['1.00'],['Excellent'],['Excellent'],['55.0'],[True],https://bnsec.bluenile.com/bnsecure/diamondvis/gia-1192033113/still_230x230.jpg,https://bluenile.v360.in/59/imaged/gia-1192033113/1/,"[{'label': '5.38 x 5.39 x 3.35 mm', 'labelSmall': '5.38 x 5.39 x 3.35'}]",False,,0.23123357
./diamond-details/LD08331783,['0.50'],['Sep 26'],['Sep 27'],2204,"['$4,408']",['LD08331783'],LD08331783,['RD'],['Round'],['VVS2'],['D'],['None'],"[{'label': 'Ideal', 'labelSmall': 'Ideal'}]",['60.2'],['None'],['1.00'],['Excellent'],['Excellent'],['59.0'],[False],,,"[{'label': '5.17 x 5.15 x 3.11 mm', 'labelSmall': '5.17 x 5.15 x 3.11'}]",False,,0.1562783
