i=247,cost=6743,A=0.370876,B=-67.740566
i=248,cost=6732,A=0.370486,B=-66.313081
i=249,cost=6721,A=0.370097,B=-64.890778
i=250,cost=6710,A=0.369710,B=-63.473637
i=251,cost=6699,A=0.369324,B=-62.061639
i=252,cost=6688,A=0.368940,B=-60.654765
i=253,cost=6677,A=0.368557,B=-59.252998
i=254,cost=6666,A=0.368175,B=-57.856318
i=255,cost=6656,A=0.367795,B=-56.464708
i=256,cost=6645,A=0.367417,B=-55.078148
i=257,cost=6635,A=0.367039,B=-53.696620
i=258,cost=6624,A=0.366663,B=-52.320106
i=259,cost=6614,A=0.366288,B=-50.948589
i=260,cost=6604,A=0.365915,B=-49.582049
i=261,cost=6594,A=0.365543,B=-48.220469
i=262,cost=6583,A=0.365173,B=-46.863830
i=263,cost=6573,A=0.364803,B=-45.512115
i=264,cost=6563,A=0.364435,B=-44.165306
i=265,cost=6554,A=0.364069,B=-42.823386
i=266,cost=6544,A=0.363703,B=-41.486335
i=267,cost=6534,A=0.363340,B=-40.154137
i=268,cost=6524,A=0.362977,B=-38.826774
i=269,cost=6515,A=0.362616,B=-37.504229
i=270,cost=6505,A=0.362256,B=-36.186484
i=271,cost=6496,A=0.361897,B=-34.873521
i=272,cost=6486,A=0.361540,B=-33.565324
i=273,cost=6477,A=0.361184,B=-32.261874
i=274,cost=6468,A=0.360829,B=-30.963155
i=275,cost=6459,A=0.360475,B=-29.669150
i=276,cost=6450,A=0.360123,B=-28.379841
i=277,cost=6441,A=0.359772,B=-27.095212
i=278,cost=6432,A=0.359422,B=-25.815245
i=279,cost=6423,A=0.359074,B=-24.539923
i=280,cost=6414,A=0.358727,B=-23.269230
i=281,cost=6405,A=0.358381,B=-22.003149
i=282,cost=6396,A=0.358036,B=-20.741663
i=283,cost=6388,A=0.357693,B=-19.484756
i=284,cost=6379,A=0.357351,B=-18.232410
i=285,cost=6371,A=0.357010,B=-16.984609
i=286,cost=6362,A=0.356670,B=-15.741337
i=287,cost=6354,A=0.356332,B=-14.502578
i=288,cost=6345,A=0.355995,B=-13.268314
i=289,cost=6337,A=0.355659,B=-12.038530
i=290,cost=6329,A=0.355324,B=-10.813209
i=291,cost=6321,A=0.354991,B=-9.592336
i=292,cost=6312,A=0.354658,B=-8.375893
i=293,cost=6304,A=0.354327,B=-7.163866
i=294,cost=6296,A=0.353997,B=-5.956237
i=295,cost=6288,A=0.353669,B=-4.752991
i=296,cost=6281,A=0.353341,B=-3.554113
i=297,cost=6273,A=0.353015,B=-2.359585
i=298,cost=6265,A=0.352690,B=-1.169393
i=299,cost=6257,A=0.352366,B=0.016480
i=300,cost=6250,A=0.352043,B=1.198048
i=301,cost=6242,A=0.351721,B=2.375328
i=302,cost=6234,A=0.351401,B=3.548336
i=303,cost=6227,A=0.351082,B=4.717086
i=304,cost=6220,A=0.350763,B=5.881594
i=305,cost=6212,A=0.350446,B=7.041876
i=306,cost=6205,A=0.350131,B=8.197947
i=307,cost=6198,A=0.349816,B=9.349821
i=308,cost=6190,A=0.349502,B=10.497516
i=309,cost=6183,A=0.349190,B=11.641045
i=310,cost=6176,A=0.348879,B=12.780423
i=311,cost=6169,A=0.348569,B=13.915667
i=312,cost=6162,A=0.348260,B=15.046790
i=313,cost=6155,A=0.347952,B=16.173808
i=314,cost=6148,A=0.347645,B=17.296735
i=315,cost=6141,A=0.347339,B=18.415587
i=316,cost=6134,A=0.347035,B=19.530378
i=317,cost=6128,A=0.346731,B=20.641124
i=318,cost=6121,A=0.346429,B=21.747838
i=319,cost=6114,A=0.346128,B=22.850535
i=320,cost=6108,A=0.345828,B=23.949230
i=321,cost=6101,A=0.345529,B=25.043938
i=322,cost=6095,A=0.345231,B=26.134672
i=323,cost=6088,A=0.344934,B=27.221448
i=324,cost=6082,A=0.344638,B=28.304279
i=325,cost=6075,A=0.344343,B=29.383181
i=326,cost=6069,A=0.344050,B=30.458166
i=327,cost=6063,A=0.343757,B=31.529251
i=328,cost=6056,A=0.343465,B=32.596447
i=329,cost=6050,A=0.343175,B=33.659771
i=330,cost=6044,A=0.342885,B=34.719235
i=331,cost=6038,A=0.342597,B=35.774855
i=332,cost=6032,A=0.342310,B=36.826642
i=333,cost=6026,A=0.342023,B=37.874613
i=334,cost=6020,A=0.341738,B=38.918780
i=335,cost=6014,A=0.341454,B=39.959158
i=336,cost=6008,A=0.341171,B=40.995759
i=337,cost=6002,A=0.340889,B=42.028599
i=338,cost=5996,A=0.340608,B=43.057689
i=339,cost=5991,A=0.340327,B=44.083045
i=340,cost=5985,A=0.340048,B=45.104679
i=341,cost=5979,A=0.339770,B=46.122606
i=342,cost=5974,A=0.339493,B=47.136838
i=343,cost=5968,A=0.339217,B=48.147389
i=344,cost=5962,A=0.338942,B=49.154272
i=345,cost=5957,A=0.338668,B=50.157501
i=346,cost=5951,A=0.338395,B=51.157089
i=347,cost=5946,A=0.338123,B=52.153049
i=348,cost=5941,A=0.337852,B=53.145395
i=349,cost=5935,A=0.337582,B=54.134138
i=350,cost=5930,A=0.337313,B=55.119294
i=351,cost=5925,A=0.337044,B=56.100873
i=352,cost=5919,A=0.336777,B=57.078890
i=353,cost=5914,A=0.336511,B=58.053358
i=354,cost=5909,A=0.336246,B=59.024289
i=355,cost=5904,A=0.335981,B=59.991696
i=356,cost=5899,A=0.335718,B=60.955592
i=357,cost=5894,A=0.335456,B=61.915989
i=358,cost=5889,A=0.335194,B=62.872901
i=359,cost=5884,A=0.334934,B=63.826340
i=360,cost=5879,A=0.334674,B=64.776319
i=361,cost=5874,A=0.334416,B=65.722849
i=362,cost=5869,A=0.334158,B=66.665945
i=363,cost=5864,A=0.333902,B=67.605617
i=364,cost=5859,A=0.333646,B=68.541880
i=365,cost=5855,A=0.333391,B=69.474744
i=366,cost=5850,A=0.333137,B=70.404222
i=367,cost=5845,A=0.332884,B=71.330327
i=368,cost=5840,A=0.332632,B=72.253071
i=369,cost=5836,A=0.332381,B=73.172466
i=370,cost=5831,A=0.332130,B=74.088523
i=371,cost=5827,A=0.331881,B=75.001257
i=372,cost=5822,A=0.331633,B=75.910677
i=373,cost=5818,A=0.331385,B=76.816797
i=374,cost=5813,A=0.331139,B=77.719629
i=375,cost=5809,A=0.330893,B=78.619183
i=376,cost=5804,A=0.330648,B=79.515473
i=377,cost=5800,A=0.330404,B=80.408510
i=378,cost=5796,A=0.330161,B=81.298305
i=379,cost=5791,A=0.329919,B=82.184871
i=380,cost=5787,A=0.329677,B=83.068220
i=381,cost=5783,A=0.329437,B=83.948363
i=382,cost=5779,A=0.329197,B=84.825311
i=383,cost=5774,A=0.328959,B=85.699076
i=384,cost=5770,A=0.328721,B=86.569670
i=385,cost=5766,A=0.328484,B=87.437105
i=386,cost=5762,A=0.328248,B=88.301391
i=387,cost=5758,A=0.328013,B=89.162540
i=388,cost=5754,A=0.327778,B=90.020564
i=389,cost=5750,A=0.327545,B=90.875474
i=390,cost=5746,A=0.327312,B=91.727281
i=391,cost=5742,A=0.327080,B=92.575997
i=392,cost=5738,A=0.326849,B=93.421632
i=393,cost=5734,A=0.326619,B=94.264198
i=394,cost=5730,A=0.326390,B=95.103706
i=395,cost=5726,A=0.326161,B=95.940167
i=396,cost=5723,A=0.325933,B=96.773593
i=397,cost=5719,A=0.325706,B=97.603993
